""	"Rank"	"Title"	"Description"	"Runtime"	"Genre"	"Rating"	"Metascore"	"Votes"	"Gross_Earning_in_Mil"	"Director"	"Actor"
"43"	43	"The Secret Life of Pets"	"   The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes."	87	"Animation"	6.5	61	151786	368.3	"Chris Renaud"	"Louis C.K."
"44"	44	"Trolls"	"   After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends."	92	"Animation"	6.5	56	59693	153.7	"Mike Mitchell"	"Anna Kendrick"
"45"	45	"Lights Out"	"   Rebecca must unlock the terror behind her little brother's experiences that once tested her sanity, bringing her face to face with a supernatural spirit attached to their mother."	81	"Horror"	6.3	58	94518	67.27	"David F. Sandberg"	"Teresa Palmer"
"46"	46	"Manchester by the Sea"	"   A depressed uncle is asked to take care of his teenage nephew after the boy's father dies."	137	"Drama"	7.8	96	198789	47.7	"Kenneth Lonergan"	"Casey Affleck"
"47"	47	"Free State of Jones"	"   A disillusioned Confederate army deserter returns to Mississippi and leads a militia of fellow deserters and women in an uprising against the corrupt local Confederate government."	139	"Action"	6.9	53	41552	20.76	"Gary Ross"	"Matthew McConaughey"
"48"	48	"A Cure for Wellness"	"   An ambitious young executive is sent to retrieve his company's CEO from an idyllic but mysterious \"wellness center\" at a remote location in the Swiss Alps, but soon suspects that the spa's treatments are not what they seem."	146	"Drama"	6.4	47	65281	8.11	"Gore Verbinski"	"Dane DeHaan"
"49"	49	"Busanhaeng"	"   While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan."	118	"Action"	7.5	72	97735	2.13	"Sang-ho Yeon"	"Yoo Gong"
"50"	50	"The Bad Batch"	"   In a desert dystopia, a young woman is kidnapped by cannibals."	118	"Drama"	5.3	62	18023	0.18	"Ana Lily Amirpour"	"Suki Waterhouse"
"51"	51	"Warcraft: The Beginning"	"   As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war."	123	"Action"	6.9	32	217607	47.37	"Duncan Jones"	"Travis Fimmel"
"52"	52	"Contratiempo"	"   While the clock is ticking, with the aid of a witness preparation expert, a successful entrepreneur accused of murder has less than three hours to come up with an impregnable defence."	106	"Crime"	8.1	NA	67923	NA	"Oriol Paulo"	"Mario Casas"
"53"	53	"Hidden Figures"	"   The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program."	127	"Biography"	7.8	74	158331	169.6	"Theodore Melfi"	"Taraji P. Henson"
"54"	54	"Ah-ga-ssi"	"   A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her."	144	"Drama"	8.1	84	68534	2.01	"Chan-wook Park"	"Min-hee Kim"
"55"	55	"The Neon Demon"	"   An aspiring model, Jesse, is new to Los Angeles. However, her beauty and youth, which generate intense fascination and jealousy within the fashion industry, may prove themselves sinister."	117	"Horror"	6.2	51	67963	1.33	"Nicolas Winding Refn"	"Elle Fanning"
"56"	56	"Before I Wake"	"   A couple adopt an orphaned child whose dreams - and nightmares - manifest physically as he sleeps."	97	"Drama"	6.2	68	30103	NA	"Mike Flanagan"	"Kate Bosworth"
"57"	57	"Bad Moms"	"   When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun and comedic self-indulgence."	100	"Comedy"	6.2	60	94958	113.2	"Jon Lucas"	"Mila Kunis"
"58"	58	"Pride and Prejudice and Zombies"	"   Five sisters in 19th century England must cope with the pressures to marry while protecting themselves from a growing population of zombies."	108	"Action"	5.8	45	43471	10.91	"Burr Steers"	"Lily James"
"59"	59	"Jack Reacher: Never Go Back"	"   Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name. On the run as a fugitive from the law, Reacher uncovers a potential secret from his past that could change his life forever."	118	"Action"	6.1	47	113070	58.7	"Edward Zwick"	"Tom Cruise"
"60"	60	"The Accountant"	"   As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities, and the body count starts to rise."	128	"Action"	7.4	51	220452	86.26	"Gavin O'Connor"	"Ben Affleck"
"61"	61	"Sully: Miracle on the Hudson"	"   The story of Chesley Sullenberger, an American pilot who became a hero after landing his damaged plane on the Hudson River in order to save the flight's passengers and crew."	96	"Biography"	7.5	74	187280	125	"Clint Eastwood"	"Tom Hanks"
"62"	62	"The Nice Guys"	"   In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star."	116	"Action"	7.4	70	225612	36.26	"Shane Black"	"Russell Crowe"
"63"	63	"Underworld: Blood Wars"	"   Vampire death dealer, Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her."	91	"Action"	5.8	23	59202	30.35	"Anna Foerster"	"Kate Beckinsale"
"64"	64	"Lion"	"   A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia. 25 years later, he sets out to find his lost family."	118	"Biography"	8.1	69	167907	51.69	"Garth Davis"	"Dev Patel"
"65"	65	"Sadie"	"   After a fight with her boyfriend, a successful female erotic novelist on a book tour of Europe joins her ex and his female friend, with whom she falls madly in love, for a party at a castle owned by a dangerous cult."	84	"Drama"	3.6	NA	611	NA	"Craig Goodwill"	"Analeigh Tipton"
"66"	66	"Jason Bourne"	"   The CIA's most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past."	123	"Action"	6.6	58	182156	162.4	"Paul Greengrass"	"Matt Damon"
"67"	67	"Below Her Mouth"	"   An unexpected affair quickly escalates into a heart-stopping reality for two women whose passionate connection changes their lives forever."	94	"Drama"	5.5	42	6351	NA	"April Mullen"	"Erika Linder"
"68"	68	"Snowden"	"   The NSA's illegal surveillance techniques are leaked to the public by one of the agency's employees, Edward Snowden, in the form of thousands of classified documents distributed to the press."	134	"Biography"	7.3	58	110865	21.59	"Oliver Stone"	"Joseph Gordon-Levitt"
"69"	69	"Gods of Egypt"	"   Mortal hero Bek teams with the god Horus in an alliance against Set, the merciless god of darkness, who has usurped Egypt's throne, plunging the once peaceful and prosperous empire into chaos and conflict."	127	"Action"	5.4	25	90257	31.15	"Alex Proyas"	"Brenton Thwaites"
"70"	70	"The Thinning"	"   \"The Thinning\" takes place in a future plagued by overcrowding where population control is dictated by a high-school aptitude test. When two students (Logan Paul and Peyton List) discover ...                See full summary »
"	81	"Action"	5.7	NA	7519	NA	"Michael J. Gallagher"	"Logan Paul"
"71"	71	"Silence"	"   In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism."	161	"Adventure"	7.2	79	79754	7.08	"Martin Scorsese"	"Andrew Garfield"
"72"	72	"The Jungle Book"	"   After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo."	106	"Adventure"	7.4	77	231197	364	"Jon Favreau"	"Neel Sethi"
"73"	73	"31"	"   Five carnival workers are kidnapped and held hostage in an abandoned, Hell-like compound where they are forced to participate in a violent game, the goal of which is to survive twelve hours against a gang of sadistic clowns."	102	"Horror"	5.1	35	14143	0.78	"Rob Zombie"	"Malcolm McDowell"
"74"	74	"Headshot"	"   Uwais plays a young man who washes ashore, an amnesiac with a serious head injury whose past comes back to haunt him shortly after being nursed back to health by a young doctor. Violence ensues. Sweet, sweet violence."	118	"Action"	6.4	61	8848	NA	"Kimo Stamboel"	"Iko Uwais"
"75"	75	"Allied"	"   In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war."	124	"Action"	7.1	60	116801	40.07	"Robert Zemeckis"	"Brad Pitt"
